bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
6,46,220,20.9587,-42.0392,2023-04-14,122.08000183105469,1,1902384
14,46,540,20.9587,-42.0392,2023-04-14,122.08000183105469,0,1902384
6,53,220,21.6595,-44.5449,2023-06-22,56.07999801635742,1,1902384
9,57,340,22.1339,-42.2407,2023-08-01,34.029998779296875,1,1902384
10,58,380,21.6632,-42.009,2023-08-11,58.08000183105469,1,1902384
7,59,260,21.2101,-42.1903,2023-08-21,46.060001373291016,1,1902384
6,62,220,20.4209,-42.6968,2023-09-20,60.060001373291016,1,1902384
6,63,220,20.1284,-42.511,2023-09-30,55.91999816894531,1,1902384
11,63,420,20.1284,-42.511,2023-09-30,55.91999816894531,0,1902384
7,64,260,19.9384,-42.144,2023-10-10,66.05999755859375,1,1902384
7,67,260,20.5518,-41.5514,2023-11-09,76.04000091552734,1,1902384
17,68,660,20.6099,-41.3901,2023-11-19,77.87000274658203,0,1902384
7,71,260,19.9211,-41.2618,2023-12-19,81.93000030517578,1,1902384
6,73,220,19.6048,-41.6623,2024-01-08,78.089996337890625,1,1902384
11,74,420,19.5803,-41.8786,2024-01-18,91.54000091552734,0,1902384
6,76,220,19.7431,-42.3425,2024-02-07,101.52999877929688,1,1902384
9,77,340,19.7756,-42.5681,2024-02-17,97.33000183105469,1,1902384
7,83,260,20.7729,-41.1962,2024-04-17,112.12999725341797,1,1902384
6,86,220,20.1743,-41.1833,2024-05-18,80.13999938964844,1,1902384
9,88,340,20.0253,-41.8077,2024-06-07,43.869998931884766,1,1902384
14,91,540,20.1537,-42.3513,2024-07-07,64.05000305175781,0,1902384
7,92,260,20.1062,-42.431,2024-07-17,68.25999450683594,1,1902384
9,10,340,24.835,-65.257,2022-04-24,75.970001220703125,1,1902385
8,49,300,23.6522,-56.3488,2023-05-19,19.969999313354492,1,1902385
8,55,300,24.9697,-56.659,2023-07-18,37.980003356933594,1,1902385
9,72,340,26.3889,-54.6864,2024-01-04,99.93000030517578,1,1902385
9,74,340,25.7427,-55.0727,2024-01-24,95.94999694824219,1,1902385
9,75,340,25.3306,-55.161,2024-02-03,114.21000671386719,1,1902385
8,77,300,24.474,-55.0258,2024-02-23,116.0999984741211,1,1902385
8,79,300,24.5896,-54.7481,2024-03-14,111.80000305175781,1,1902385
6,1,220,-0.9638,64.6365,2023-06-01,74.26000213623047,1,1902453
7,1,260,-0.9638,64.6365,2023-06-01,74.26000213623047,0,1902453
6,2,220,-1.1311,65.0139,2023-06-11,82.5,1,1902453
7,2,260,-1.1311,65.0139,2023-06-11,82.5,0,1902453
6,7,220,0.2826,62.7997,2023-07-31,66.23999786376953,1,1902453
8,9,300,-1.2002,63.3391,2023-08-20,52.060001373291016,0,1902453
6,20,220,1.2208,68.2592,2023-12-08,82.59000396728516,1,1902453
7,24,260,-0.2538,65.1567,2024-01-17,77.98999786376953,0,1902453
7,25,260,0.6215,65.0502,2024-01-27,102.09000396728516,0,1902453
8,36,300,-1.993,71.5785,2024-05-16,84.19000244140625,0,1902453
10,36,380,-1.993,71.5785,2024-05-16,84.19000244140625,0,1902453
11,36,420,-1.993,71.5785,2024-05-16,84.19000244140625,0,1902453
11,37,420,-2.105,71.7971,2024-05-26,98.06000518798828,0,1902453
9,39,340,-2.7631,74.1792,2024-06-15,60.84000015258789,0,1902453
