WMO,Cycle,Category
3902559,38,0
3902559,55,0
3902559,30,0
3902559,28,0
3902559,1,0
3902559,83,0
3902559,34,0
3902559,66,0
3902559,31,0
3902559,20,0
3902559,5,0
3902559,60,0
3902559,87,0
3902559,25,0
3902559,27,0
3902559,23,0
3902559,9,0
3902559,63,0
3902559,64,0
3902559,33,0
3902559,75,0
3902559,78,0
3902559,8,0
3902559,82,0
