WMO,Cycle,Category,CYCLE_NUMBER,LATITUDE,LONGITUDE,TIME
5905531,75,2,75,-29.250001666666662,106.37047833333332,2024-07-28
5905531,51,0,51,-25.819013333333334,110.86926833333332,2023-12-01
5904660,63,0,63,-56.071,-41.209,2017-10-12
5904660,7,1,7,-60.014,-52.945,2016-03-09
5904660,27,1,27,-57.853,-47.933,2016-10-03
5904660,38,1,38,-58.888,-45.537,2017-01-25
5906227,80,1,80,-59.028,-47.051,2022-04-26
6901486,147,0,147,58.84583833333333,-49.784475,2015-05-18
6901486,52,1,52,59.22692333333333,-41.18589,2014-02-11
6901486,49,1,49,59.813691666666664,-40.021865,2014-01-17
6901486,126,1,126,57.69807,-53.448166666666665,2015-04-09
6901486,61,1,61,58.469655,-45.868235,2014-03-28
6901486,111,1,111,56.38395166666667,-48.179715,2015-02-01
6901486,30,0,30,64.260815,-34.299955,2013-08-20
6901486,42,0,42,61.72922333333333,-39.591741666666664,2013-11-08
6901486,55,1,55,58.571715,-43.1114,2014-02-26
6901486,255,1,255,59.49478,-50.15504166666667,2016-05-02
5906765,65,0,65,2.24155,-163.67849,2022-11-14
5906765,85,0,85,3.29862,-168.78609,2023-04-30
5906765,44,0,44,2.54306,-160.23904,2022-07-30
5906765,45,0,45,2.74311,-160.45944,2022-08-04
5906765,66,0,66,1.93385,-163.71772,2022-11-19
5906765,63,0,63,2.06438,-163.37539,2022-11-04
5906765,43,0,43,2.43533,-160.09165,2022-07-25
5906765,123,0,123,3.6426,173.45748,2024-05-20
5905998,94,0,94,-63.991,123.473,2021-07-19
5905998,92,3,92,-64.01,123.931,2021-06-28
5904763,2,1,2,-50.123,-168.441,2016-05-29
5904856,41,1,41,-58.156,-48.86,2018-02-06
5904856,61,0,61,-56.433,-39.462,2018-08-27
5904856,34,0,34,-59.58,-52.008,2017-11-28
5904856,43,1,43,-59,-47.148,2018-02-26
5904856,46,1,46,-58.797,-42.27,2018-03-28
5905374,22,1,22,-64.11883325787888,138.66268696852586,2018-08-29
5905023,302,0,302,-42.7141,97.6965,2017-02-13
5905023,193,2,193,-40.4738,95.0009,2016-08-16
5906443,17,1,17,-50.4743,160.2596,2023-06-21
5906443,15,1,15,-51.857,158.4181,2023-06-01
5906443,19,1,19,-50.9087,162.0169,2023-07-11
5906443,16,1,16,-50.4699,157.7466,2023-06-11
5906443,11,0,11,-51.9899,156.1781,2023-04-22
5906443,6,1,6,-50.855,152.347,2023-03-03
5906443,18,1,18,-51.245,160.8805,2023-07-01
6903592,12,0,12,74.24782833333333,-2.5314916666666667,2022-07-31
6903592,89,0,89,73.803095,-11.460045,2023-08-20
7900918,8,0,8,-62.40753173828125,76.36289978027344,2021-03-26
7900918,9,0,9,-62.32899475097656,77.37321472167969,2021-03-31
6903551,58,1,58,74.54074166666666,-7.841843333333333,2020-02-29
6903551,77,0,77,75.00278666666667,-11.30521,2020-06-03
6903551,104,0,104,73.07015166666666,-13.493881666666669,2020-10-16
6903551,99,0,99,73.085025,-11.282676666666667,2020-09-21
6903551,94,0,94,73.064445,-12.564738333333333,2020-08-27
6903551,3,0,3,74.76474,-4.673043333333333,2019-06-02
5906030,149,1,149,-45.493,92.433,2023-04-20
5906030,159,1,159,-44.942,102.431,2023-08-02
2903856,2,0,2,2.4643,179.7481,2023-09-12
2903856,6,0,6,1.619,-178.7329,2023-10-23
2903856,10,0,10,1.5912,-175.5722,2023-12-03
6901519,144,0,144,61.96963,-28.702166666666667,2014-09-13
6901519,167,1,167,62.555708333333335,-39.124493333333334,2015-03-07
6901519,117,1,117,59.52795666666667,-34.05856333333333,2014-05-01
5904845,73,0,73,-50.047,-33.288,2019-01-13
5904684,147,0,147,-63.71387235247352,134.7081750594649,2020-07-21
5904474,77,0,77,-34.285,13.247,2016-08-15
5904474,145,2,145,-39.714,41.148,2018-06-29
5904474,100,1,100,-38.809,11.557,2017-04-03
5904474,52,1,52,-41.713,12.907,2015-12-08
5904474,71,1,71,-37.857,11.346,2016-06-16
5904474,99,1,99,-38.231,11.569,2017-03-24
5904474,76,0,76,-36.29,14.051,2016-08-05
5903612,138,1,138,-39.08,29.064,2014-06-30
5904475,188,0,188,-28.992,-21.053,2019-03-24
5904475,36,0,36,-33.4,14.345,2015-06-22
5904475,66,1,66,-29.543,6.357,2015-11-27
