WMO,Cycle,Category,CYCLE_NUMBER
2903393,55,0,55
2903393,58,0,58
2903393,60,2,60
2903393,61,2,61
2903393,84,0,84
2903393,85,0,85
2903395,1,0,1
2903395,101,2,101
2903395,12,0,12
2903395,125,0,125
2903395,127,0,127
2903395,129,1,129
2903395,131,2,131
2903395,144,1,144
2903395,146,0,146
2903395,149,1,149
2903395,155,2,155
2903395,158,1,158
2903395,159,2,159
2903395,160,2,160
2903395,161,1,161
2903395,162,2,162
2903395,164,1,164
2903395,166,1,166
2903395,167,1,167
2903395,168,1,168
2903395,3,0,3
2903395,4,0,4
2903395,48,0,48
2903395,52,0,52
2903395,53,2,53
2903395,54,3,54
2903395,55,2,55
2903395,6,3,6
2903395,7,0,7
2903395,70,1,70
2903395,8,2,8
2903395,87,2,87
2903395,92,2,92
2903395,99,2,99
2903396,14,2,14
2903396,17,3,17
2903451,10,0,10
2903451,42,3,42
2903451,8,0,8
2903454,20,2,20
2903455,18,1,18
2903455,21,1,21
2903455,22,1,22
2903455,24,1,24
2903456,1,1,1
2903456,20,1,20
2903456,28,1,28
2903456,29,2,29
2903456,30,1,30
2903456,6,1,6
2903459,10,0,10
2903459,21,0,21
2903459,23,0,23
2903459,29,0,29
2903459,8,0,8
2903461,16,2,16
2903461,19,3,19
2903461,20,0,20
2903461,25,0,25
2903461,30,3,30
2903461,8,2,8
2903462,1,2,1
2903462,10,0,10
2903462,13,2,13
2903462,2,0,2
2903462,21,0,21
2903462,26,0,26
2903462,28,0,28
2903462,30,0,30
2903462,35,0,35
2903462,5,0,5
2903462,7,0,7
2903463,14,0,14
2903463,18,0,18
2903463,19,0,19
2903463,2,2,2
2903463,26,0,26
2903463,27,2,27
2903463,31,0,31
2903463,34,0,34
2903463,4,2,4
2903463,6,2,6
2903463,7,1,7
2903464,22,0,22
2903464,6,0,6
2903465,24,2,24
2903465,25,0,25
2903465,30,0,30
2903465,31,0,31
2903467,11,4,11
2903467,29,2,29
2903468,24,2,24
2903468,27,2,27
2903468,28,0,28
2903468,30,1,30
2903473,2,1,2
2903666,101,0,101
2903666,123,0,123
2903666,129,0,129
2903666,14,0,14
2903666,176,0,176
2903666,178,0,178
2903666,185,0,185
2903666,21,0,21
2903666,26,0,26
2903783,18,0,18
2903783,19,0,19
2903783,20,2,20
2903783,22,0,22
2903783,23,0,23
2903783,24,0,24
2903783,25,0,25
2903783,26,0,26
2903783,28,0,28
2903783,30,0,30
2903783,31,0,31
2903783,35,0,35
2903783,36,0,36
2903783,38,0,38
2903783,39,0,39
2903783,41,0,41
2903783,42,2,42
2903783,44,0,44
2903783,45,0,45
2903783,46,3,46
2903783,48,0,48
2903783,49,0,49
2903783,50,0,50
2903783,52,0,52
2903783,53,0,53
2903783,7,0,7
2903854,14,2,14
2903854,21,0,21
2903856,15,2,15
2903856,17,0,17
2903856,18,0,18
2903862,16,0,16
2903862,17,0,17
2903862,18,0,18
2903862,6,0,6
3901497,11,0,11
3901497,12,0,12
3901497,13,0,13
3901497,14,0,14
3901497,182,2,182
3901497,244,0,244
3901497,271,2,271
3901498,10,2,10
3901498,100,0,100
3901498,101,0,101
3901498,104,0,104
3901498,105,0,105
3901498,107,0,107
3901498,110,0,110
3901498,112,2,112
3901498,140,1,140
3901498,175,0,175
3901498,176,0,176
3901498,190,2,190
3901498,219,1,219
3901498,260,0,260
3901498,27,0,27
3901498,282,0,282
3901498,96,0,96
3901498,99,0,99
3902120,108,4,108
3902120,157,4,157
3902120,204,4,204
3902120,211,4,211
3902120,237,4,237
3902120,248,4,248
3902120,280,4,280
3902120,29,0,29
3902121,106,4,106
3902121,108,4,108
3902121,120,4,120
3902121,133,4,133
3902121,150,4,150
3902121,165,4,165
3902121,177,4,177
3902121,229,4,229
3902121,231,4,231
3902121,253,4,253
3902121,262,4,262
3902121,274,4,274
3902121,289,4,289
3902121,313,4,313
3902121,321,4,321
3902121,329,4,329
3902121,51,0,51
3902121,58,0,58
3902121,77,0,77
3902122,110,1,110
3902122,112,2,112
3902122,116,1,116
3902122,117,2,117
3902122,120,1,120
3902122,123,2,123
3902122,137,2,137
3902122,165,0,165
3902122,177,0,177
3902122,191,2,191
3902122,207,2,207
3902122,219,2,219
3902122,227,0,227
3902122,233,2,233
3902122,267,0,267
3902122,281,2,281
3902122,285,0,285
3902122,322,0,322
3902122,33,1,33
3902122,34,1,34
3902123,109,0,109
3902123,121,2,121
3902123,144,2,144
3902123,181,0,181
3902123,59,0,59
3902123,90,0,90
3902123,98,0,98
3902124,107,0,107
3902124,113,0,113
3902124,135,0,135
3902124,148,3,148
3902124,155,0,155
3902124,269,0,269
3902124,28,0,28
3902124,282,0,282
3902124,288,0,288
3902124,306,0,306
3902124,331,3,331
3902124,342,0,342
3902124,354,0,354
3902124,360,0,360
3902124,366,0,366
3902124,373,0,373
3902124,50,0,50
3902124,70,0,70
3902124,81,0,81
3902125,114,0,114
3902125,138,0,138
3902125,154,2,154
3902125,175,2,175
3902125,184,0,184
3902125,187,3,187
3902125,199,0,199
3902125,222,0,222
3902125,225,0,225
3902125,232,0,232
3902125,237,0,237
3902125,249,0,249
3902125,255,2,255
3902125,49,0,49
3902125,69,0,69
3902498,10,0,10
3902498,12,0,12
3902498,13,0,13
3902498,14,0,14
3902498,15,1,15
3902498,16,0,16
3902498,17,0,17
3902498,18,0,18
3902498,19,2,19
3902498,20,0,20
3902498,21,2,21
3902498,25,0,25
3902498,26,0,26
3902498,27,0,27
3902498,29,0,29
3902498,34,0,34
3902498,38,0,38
3902498,39,0,39
3902498,42,0,42
3902498,43,0,43
3902498,44,0,44
3902498,45,0,45
3902498,46,0,46
3902498,9,0,9
3902589,1,2,1
3902589,2,0,2
3902589,3,0,3
3902589,4,0,4
3902589,5,3,5
3902589,7,0,7
4901802,30,1,30
4901802,34,1,34
4901802,44,1,44
4901802,46,1,46
4901802,49,1,49
4901802,50,1,50
4901802,51,1,51
4901802,52,1,52
4901802,53,1,53
4901802,54,1,54
4901802,61,1,61
4901802,62,1,62
4901802,65,1,65
4901802,66,1,66
4901802,67,1,67
4901802,68,1,68
4901802,69,1,69
4901802,70,1,70
4901802,71,1,71
4901802,73,1,73
4901802,74,1,74
4901802,75,1,75
4901802,83,1,83
4901802,87,1,87
4901802,88,1,88
4901802,89,1,89
4901802,90,2,90
4901802,93,2,93
4902437,122,0,122
4902437,2,0,2
4902437,20,0,20
4902437,36,2,36
4902437,37,2,37
4902437,42,0,42
4902437,47,0,47
4902437,89,0,89
4902602,167,0,167
4902602,170,0,170
4902602,177,0,177
4902602,179,0,179
4902602,180,0,180
4902602,184,0,184
4902602,190,0,190
4902602,202,0,202
4902602,217,0,217
4902602,227,0,227
4902602,229,0,229
4902602,232,0,232
4902602,247,0,247
4902630,100,0,100
4902630,107,4,107
4902630,108,4,108
4902630,109,4,109
4902630,110,4,110
4902630,15,4,15
4902630,2,4,2
4902630,24,4,24
4902630,77,4,77
4902630,79,4,79
4903274,98,2,98
4903365,1,2,1
4903365,100,0,100
