bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
6,54,220,13.7935,-59.2308,2024-03-30,84.12999725341797,1,4903458
6,8,220,5.759,-33.977,2023-01-16,82.30999755859375,1,4903459
8,24,300,2.3942,-28.0658,2023-06-25,86.589996337890625,1,4903459
8,25,300,2.6076,-27.1718,2023-07-05,58.15999984741211,1,4903459
9,48,340,2.9524,-27.0297,2024-02-21,58.53000259399414,1,4903459
6,3,220,8.233,-49.163,2022-11-25,44.06999969482422,0,4903462
6,26,220,9.7973,-51.1376,2023-07-14,17.96000099182129,1,4903462
9,31,340,5.1847,-25.3096,2023-09-14,65.84000396728516,0,4903463
8,46,300,5.4279,-23.4883,2024-02-11,64.089996337890625,1,4903463
8,48,300,5.2925,-22.8752,2024-03-02,54.04999923706055,1,4903463
14,54,540,5.5692,-22.0016,2024-05-01,41.88999938964844,0,4903463
9,23,340,5.3755,-22.9847,2023-10-24,40.05000305175781,1,4903486
8,34,300,5.4282,-23.1142,2024-02-10,56.30999755859375,1,4903486
6,10,220,-2.6746,-25.459,2023-06-08,43.52000045776367,1,4903489
6,1,220,42.844,-125.854,2022-08-19,28.149999618530273,1,4903499
8,2,300,42.566,-125.667,2022-08-30,18.399999618530273,0,4903499
9,2,340,42.566,-125.667,2022-08-30,18.399999618530273,0,4903499
6,4,220,42.355,-125.269,2022-09-19,30.690000534057617,1,4903499
9,5,340,42.183,-125.256,2022-09-29,24.5,0,4903499
8,7,300,42.128,-125.074,2022-10-20,32.09000015258789,1,4903499
6,11,220,42.935,-125.3,2022-11-29,41.98999786376953,1,4903499
7,12,260,43.418,-125.422,2022-12-10,56.15999984741211,0,4903499
9,15,340,44.033,-125.599,2023-01-09,82.20999908447266,0,4903499
6,18,220,44.636,-125.625,2023-02-09,86.11000061035156,0,4903499
6,19,220,44.722,-125.642,2023-02-19,87.88999938964844,0,4903499
9,22,340,45.2317,-126.0045,2023-03-22,86.160003662109375,0,4903499
10,22,380,45.2317,-126.0045,2023-03-22,86.160003662109375,1,4903499
6,39,220,46.8593,-126.1946,2023-09-11,28.439998626708984,0,4903499
8,41,300,46.7896,-125.7505,2023-10-02,31.94999885559082,0,4903499
11,42,420,46.7214,-125.6718,2023-10-12,42.06999969482422,0,4903499
6,43,220,46.7673,-125.5527,2023-10-23,35.849998474121094,1,4903499
