WMO,Cycle,Category
5904180,138,0
5904180,32,0
5904180,166,0
5904180,78,0
5904180,151,0
5904180,208,0
5904180,112,0
5904180,150,0
5904180,217,0
5904180,19,0
5903592,53,0
5903592,73,0
5903592,75,0
5903592,11,0
5903592,91,0
5903592,84,0
5903592,28,0
5903592,103,0
5903592,57,0
5903592,25,0
5903592,78,0
5903592,96,0
5903592,62,0
5903592,88,0
5903592,106,0
5903592,74,0
5903592,100,0
5903592,5,0
5903592,90,0
5903592,30,0
4903365,11,1
4903365,57,0
4903365,24,0
4903365,69,0
4903365,38,2
4903365,31,0
4903365,102,0
4903365,106,1
4903365,25,0
4903365,6,2
4903365,40,0
4903365,15,1
4903365,45,1
4903365,37,0
4903365,75,1
4903365,89,2
4903365,92,0
4903365,50,2
4903365,33,0
4903365,107,2
4903745,23,0
4903745,9,0
4903745,28,0
4903745,29,0
4903745,16,0
4903745,4,0
4903745,12,0
4903745,5,0
4903745,3,0
4903745,17,0
4903745,8,0
4903745,35,0
4903745,30,0
4903745,31,0
4903745,32,0
4903745,11,0
4903745,24,0
4903745,20,0
4903745,7,0
4903745,13,0
2903472,31,0
2903472,16,0
2903472,24,0
2903472,6,0
2903472,21,0
2903472,4,0
2903472,1,0
2903472,12,0
2903472,22,0
2903472,29,0
2903472,13,0
2903472,3,0
2903472,2,0
2903472,9,0
2903472,10,0
2903472,26,0
2903472,7,0
2903472,18,0
2903472,17,0
2903472,15,0
1902380,5,1
1902380,71,0
1902380,23,0
1902380,87,0
1902380,59,0
1902380,8,0
1902380,43,0
1902380,48,0
1902380,68,0
1902380,42,0
1902380,4,1
1902380,20,0
1902380,29,0
1902380,69,0
1902380,44,0
1902380,76,0
1902380,77,0
1902380,82,0
1902380,9,0
1902380,91,0
4903026,188,0
4903026,293,0
4903026,85,0
4903026,84,0
4903026,68,1
4903026,5,0
4903026,94,0
4903026,216,0
4903026,235,0
4903026,244,1
4903026,282,0
4903026,260,0
4903026,21,0
4903026,40,0
4903026,166,0
4903026,165,0
4903026,246,1
4903026,45,0
4903026,183,0
2903465,15,0
2903465,5,0
2903465,41,1
2903465,16,0
2903465,3,0
2903465,24,1
2903465,8,0
2903465,19,0
2903465,29,0
2903465,33,0
2903465,14,0
2903465,36,0
2903465,6,0
2903465,13,0
2903465,7,0
2903465,30,0
2903465,40,0
2903465,10,0
2903465,4,0
2903465,22,0
5904395,98,0
5904395,136,0
5904395,70,0
5904395,43,0
5904395,126,0
5904395,112,0
5904395,170,0
5904395,5,0
5904395,75,0
5904395,23,0
5904395,165,0
5904395,123,0
5904395,147,0
5904395,139,0
5904395,18,0
5904395,146,0
5904395,44,0
5904395,42,0
5904395,166,0
5904395,17,0
5904676,100,1
5904676,65,0
5904676,27,0
5904676,131,0
5904676,41,0
5904676,47,0
5904676,133,0
5904676,77,0
5904676,66,0
5904676,37,0
5904676,126,0
5904676,58,1
5904676,43,0
5904676,145,2
5904676,16,0
5904676,25,0
5904676,94,0
5904676,35,1
5904676,152,0
5904676,57,0
5904678,13,0
5904678,133,0
5904678,105,0
5904678,40,0
5904678,91,0
5904678,131,0
5904678,17,0
5904678,120,0
5904678,121,0
5904678,50,0
5904678,99,0
5904678,117,0
5904678,44,0
5904678,151,0
5904678,60,0
5904678,87,0
5904678,23,0
5904678,160,0
5904678,158,2
5904678,45,0
4903458,21,0
4903458,26,0
4903458,17,0
4903458,33,0
4903458,60,0
4903458,22,0
4903458,37,0
4903458,2,0
4903458,53,0
4903458,28,0
4903458,56,0
4903458,16,0
4903458,12,0
4903458,65,0
4903458,61,0
4903458,59,0
4903458,1,0
4903458,66,0
4903458,46,0
4903458,55,0
4903570,5,0
4903570,23,0
4903570,20,0
4903570,7,0
4903570,14,0
4903570,1,0
4903570,6,0
4903570,19,0
4903570,15,0
4903570,22,0
4903570,4,0
4903570,17,0
4903570,12,0
4903570,21,0
4903570,2,0
4903570,11,0
4903570,8,0
4903570,13,0
4903570,16,0
4903570,9,0
2903473,13,0
2903473,7,0
2903473,30,0
2903473,14,0
2903473,24,0
2903473,12,0
2903473,3,0
2903473,2,1
2903473,22,0
2903473,9,0
2903473,29,0
2903473,21,0
2903473,15,0
2903473,20,0
2903473,16,0
2903473,4,0
2903473,11,0
2903473,8,0
2903473,5,0
2903473,19,0
5903718,206,0
5903718,170,0
5903718,70,0
5903718,71,0
5903718,197,0
5903718,66,0
5903718,142,2
5903718,124,0
5903718,153,0
5903718,232,0
5903718,54,0
5903718,137,0
5903718,190,0
5903718,174,0
5903718,82,0
5903718,13,0
5903718,78,0
5903718,26,2
5903718,246,0
5903718,110,2
5904467,43,0
5904467,94,0
5904467,88,0
5904467,24,0
5904467,11,0
5904467,69,0
5904467,36,0
5904467,111,0
5904467,53,0
5904467,15,0
5904467,97,0
5904467,105,0
5904467,66,0
5904467,128,0
5904467,104,0
5904467,86,0
2903474,13,0
2903474,8,0
2903474,3,0
2903474,23,0
2903474,30,0
2903474,24,0
2903474,27,0
2903474,19,0
2903474,16,0
2903474,22,0
2903474,7,0
2903474,26,0
2903474,17,0
2903474,12,0
2903474,18,0
2903474,14,0
2903474,1,0
2903474,2,0
2903474,10,0
2903474,29,0
2903860,23,0
2903860,1,0
2903860,24,0
2903860,18,0
2903860,20,0
2903860,4,0
2903860,27,0
2903860,15,0
2903860,22,0
2903860,14,0
2903860,3,0
2903860,16,0
2903860,2,0
2903860,26,0
2903860,17,0
2903860,7,0
2903860,8,0
2903860,10,0
2903860,5,0
2903860,25,0
2903462,37,0
2903462,12,0
2903462,41,0
2903462,25,0
2903462,20,0
2903462,35,0
2903462,32,0
2903462,3,0
2903462,13,1
2903462,36,0
2903462,7,1
2903462,2,1
2903462,6,0
2903462,26,0
2903462,14,0
2903462,27,0
2903462,19,0
2903462,24,0
2903462,30,1
2903462,34,0
5904767,80,0
5904767,121,0
