PRES_ADJUSTED,CYCLE_NUMBER,LONGITUDE,LATITUDE,TIME,AOU,SPIC,BBP700_ADJUSTED,bin,OUT.S,OUT.T,WMO
420,136,-83.391,-61.652,2018-01-30,-16.862411230247762,-7.607716056115716,1.1006989671738163,11,1,1,5904185
420,149,-74.221,-60.173,2018-06-14,-4.334071514512046,-8.886118734292062,1.77373812545239,11,1,1,5904185
420,161,-50.821,-54.077,2018-10-15,-6.657390384922025,-5.161326932888583,1.0721878476866977,11,1,1,5904185
620,102,-125.755,-54.16,2016-02-05,-4.36807686518646,-4.49676528889105,1.2142685187214461,16,1,1,5904188
660,142,-128.788,-53.575,2017-03-17,-6.608434934823594,-5.394475698017668,1.0312754682426406,17,1,1,5904188
540,12,-140.699,-53.956,2014-06-09,-3.6336758539882714,-3.766716141670309,3.2325178501359746,14,1,1,5904396
620,12,-140.699,-53.956,2014-06-09,-4.798758898927016,-4.130125783980399,3.670224540589339,16,1,1,5904396
660,13,-140.846,-54.009,2014-06-15,-4.460384608589805,-3.9649433833394965,1.7908154659695628,17,1,1,5904396
700,13,-140.846,-54.009,2014-06-15,-3.388191805329076,-3.926589952500629,1.79686514039493,18,1,1,5904396
220,101,36.139,-49.469,2018-11-08,-5.8120803665730065,-13.21240754926536,2.1722087011524507,6,1,1,5904659
260,22,-165.001,-58.419,2016-12-09,-17.87329778057237,-8.899233962077709,1.0950354221722418,7,1,1,5904673
380,26,-163.456,-59.078,2017-01-18,-25.55875032137485,-21.646325533493524,2.7147833493527487,10,1,1,5904673
220,33,-159.074,-58.587,2017-03-29,-14.161786418488912,-13.343324558203388,4.515265786423184,6,1,1,5904673
300,34,-158.759,-58.049,2017-04-08,-6.674005619989685,-3.607587237492167,1.6240612988952008,8,1,1,5904673
340,34,-158.759,-58.049,2017-04-08,-10.00520720117003,-8.419892201867285,2.049413604120799,9,1,1,5904673
420,34,-158.759,-58.049,2017-04-08,-7.472019396453544,-7.619636984836482,1.7292628071779799,11,1,1,5904673
300,35,-158.646,-57.528,2017-04-18,-13.296726090863526,-10.619690665067868,4.365961719771134,8,1,1,5904673
340,35,-158.646,-57.528,2017-04-18,-14.157565099681076,-11.042383691915017,1.3432484470848889,9,1,1,5904673
260,50,-147.151,-55.714,2017-09-15,-21.301809787085595,-17.728447300166373,3.239978692841968,7,1,1,5904673
300,50,-147.151,-55.714,2017-09-15,-11.665554417002275,-16.274595133161775,1.7085357229329012,8,1,1,5904673
420,50,-147.151,-55.714,2017-09-15,-3.8534247942809374,-4.165823391125424,1.4006282484880836,11,1,1,5904673
260,105,-117.221,-59.843,2019-02-19,-3.730591338823217,-4.006800979387429,1.1790924496859305,7,1,1,5904673
420,22,93.422,-50.423,2016-09-04,-6.517156991276713,-5.9187412329741935,1.5575825800001328,11,1,1,5904676
