WMO,CYCLE_NUMBER,critical_pres,total_area_aou,total_area_bbp,integrated_poc
4903365,26,500,587.903597322111,0.00309758625696635,39.46641895963008
4903365,15,460,806.3632329135438,0.00309758625696635,70.1018154455167
4903365,77,260,243.18765934731607,0.00309758625696635,48.53789470392392
4903365,45,420,321.45775766488913,0.00309758625696635,300.18665732606473
4903365,75,300,517.6903886253273,0.00309758625696635,27.886822425258842
4903365,83,660,569.2104208922128,0.00309758625696635,53.74885761938301
4903365,99,220,132.69431338400386,0.00309758625696635,66.51123595655066
4903365,16,220,0,0.00309758625696635,1.4213837002246155
6901775,58,220,1566.0547632892676,0.00309758625696635,380.5840351062001
6901775,248,220,128.7298581575763,0.00309758625696635,111.18569863412186
6901775,74,340,1295.3001145147175,0.00309758625696635,96.51789141805696
6903549,37,500,549.0801733819912,0.00309758625696635,54.28691374129352
5906043,8,300,4734.383047471436,0.00309758625696635,191.14974309540875
5906043,7,300,4864.859052878753,0.00309758625696635,103.97878443032401
5905371,92,300,233.1869211595887,0.00309758625696635,22.778074443894223
5905371,109,500,979.9413668173609,0.00309758625696635,208.96076276992767
5905371,126,380,433.5901420473127,0.00309758625696635,83.70656526676159
5905371,134,540,0,0.00309758625696635,17.618789750340795
5905371,122,940,0,0.00309758625696635,41.31111228542038
5905371,44,220,346.93895487534917,0.00309758625696635,38.26313908804572
5905371,42,260,612.8505375490374,0.00309758625696635,59.75446164685209
5905371,47,660,1549.7676880682252,0.00309758625696635,58.791950590831306
5905371,73,300,1440.2150442769678,0.00309758625696635,353.344721048885
5905371,68,340,953.9815353746891,0.00309758625696635,52.75026612630993
5905371,74,380,789.6268562844593,0.00309758625696635,193.44258786023406
5905371,127,220,1161.9687504491571,0.00309758625696635,11.366226840581186
5905371,128,340,531.8520406771465,0.00309758625696635,62.047939546103756
5906545,10,220,733.4858796050486,0.00309758625696635,55.52891513971236
5905991,82,500,326.11387274686484,0.00309758625696635,72.15292907607507
5906636,108,940,1038.2045260160346,0.00309758625696635,69.36975936790175
5906636,10,500,922.2760079545181,0.00309758625696635,85.51221981771228
5906636,116,260,800.0195515810168,0.00309758625696635,282.2515925430005
5906206,104,420,0,0.00309758625696635,2.515194551324383
5906206,83,380,1166.2729120769227,0.00309758625696635,39.449141035276895
5906206,118,380,3069.6191173801362,0.00309758625696635,49.633045418331065
2903465,39,300,2047.7449489382593,0.00309758625696635,98.05405274351116
